,year,Country,WORK,id,CountryName,rank
0,2013,EU,69.70478223835829,,,18.0
1,2013,BE,72.68396458379615,56.0,Belgium,7.0
2,2013,BG,67.89649001310029,100.0,Bulgaria,20.0
3,2013,CZ,64.8738578522516,203.0,Czech Republic,25.0
4,2013,DK,79.75748989119587,208.0,Denmark,2.0
5,2013,DE,70.03424154339237,276.0,Germany,17.0
6,2013,EE,71.20299852858518,233.0,Estonia,14.0
7,2013,IE,73.49041017170539,372.0,Ireland,6.0
8,2013,EL,63.64177672560924,300.0,Greece,27.0
9,2013,ES,71.76964638320727,724.0,Spain,11.0
10,2013,FR,71.51615989080435,250.0,France,12.0
11,2013,HR,67.23928522778567,191.0,Croatia,21.0
12,2013,IT,61.258690547385,380.0,Italy,28.0
13,2013,CY,70.45736106074298,196.0,Cyprus,16.0
14,2013,LV,72.61936446541438,428.0,Latvia,8.0
15,2013,LT,72.58033332692288,440.0,Lithuania,9.0
16,2013,LU,70.93495466287226,442.0,Luxembourg,15.0
17,2013,HU,66.01470994031841,348.0,Hungary,23.0
18,2013,MT,65.06218376900046,,Malta,24.0
19,2013,NL,76.298780288883,528.0,Netherlands,3.0
20,2013,AT,75.27948527363132,40.0,Austria,4.0
21,2013,PL,66.32739884446957,616.0,Poland,22.0
22,2013,PT,71.39441738214401,620.0,Portugal,13.0
23,2013,RO,67.93522685180558,642.0,Romania,19.0
24,2013,SI,71.92808712657944,705.0,Slovenia,10.0
25,2013,SK,64.80188535214401,703.0,Slovakia,26.0
26,2013,FI,74.45579286037139,246.0,Finland,5.0
27,2013,SE,80.42931887263687,752.0,Sweden,1.0
0,2015,EU,70.17677597283934,,,17.0
1,2015,BE,72.84631578901264,56.0,Belgium,8.0
2,2015,BG,68.71232446058079,100.0,Bulgaria,19.0
3,2015,CZ,65.25592757583149,203.0,Czech Republic,25.0
4,2015,DK,79.74967208950163,208.0,Denmark,2.0
5,2015,DE,70.55833552010026,276.0,Germany,16.0
6,2015,EE,71.38619943304728,233.0,Estonia,14.0
7,2015,IE,73.68050717150777,372.0,Ireland,7.0
8,2015,EL,63.61985694229644,300.0,Greece,27.0
9,2015,ES,72.30187770086087,724.0,Spain,11.0
10,2015,FR,71.89778489666004,250.0,France,12.0
11,2015,HR,68.31936838561705,191.0,Croatia,20.0
12,2015,IT,62.431918281348075,380.0,Italy,28.0
13,2015,CY,68.89689943370091,196.0,Cyprus,18.0
14,2015,LV,74.29410921986486,428.0,Latvia,6.0
15,2015,LT,72.60323159734189,440.0,Lithuania,9.0
16,2015,LU,72.54427159305797,442.0,Luxembourg,10.0
17,2015,HU,66.4365033478393,348.0,Hungary,24.0
18,2015,MT,68.24188307513047,,Malta,21.0
19,2015,NL,76.23493406960246,528.0,Netherlands,3.0
20,2015,AT,75.57991492655879,40.0,Austria,4.0
21,2015,PL,66.55064347940954,616.0,Poland,23.0
22,2015,PT,71.39561851528548,620.0,Portugal,13.0
23,2015,RO,67.76759333372604,642.0,Romania,22.0
24,2015,SI,71.303955799499,705.0,Slovenia,15.0
25,2015,SK,64.88711214877877,703.0,Slovakia,26.0
26,2015,FI,74.80356155828149,246.0,Finland,5.0
27,2015,SE,81.37911352777938,752.0,Sweden,1.0
0,2017,EU,70.56040859006451,,,19.0
1,2017,BE,73.78611629835821,56.0,Belgium,8.0
2,2017,BG,68.56310061968861,100.0,Bulgaria,21.0
3,2017,CZ,66.11495483417191,203.0,Czech Republic,25.0
4,2017,DK,79.19912160117279,208.0,Denmark,2.0
5,2017,DE,71.39947260333788,276.0,Germany,16.0
6,2017,EE,72.12552564237865,233.0,Estonia,12.0
7,2017,IE,73.8543868783955,372.0,Ireland,7.0
8,2017,EL,64.17687184341986,300.0,Greece,27.0
9,2017,ES,72.440465702117,724.0,Spain,11.0
10,2017,FR,72.10466265747125,250.0,France,13.0
11,2017,HR,69.4326675261886,191.0,Croatia,20.0
12,2017,IT,62.437747109903455,380.0,Italy,28.0
13,2017,CY,70.65604152198864,196.0,Cyprus,18.0
14,2017,LV,73.64605309755852,428.0,Latvia,9.0
15,2017,LT,73.18482923530836,440.0,Lithuania,10.0
16,2017,LU,73.98332035021,442.0,Luxembourg,6.0
17,2017,HU,67.1756061704318,348.0,Hungary,22.0
18,2017,MT,70.9576002039125,,Malta,17.0
19,2017,NL,76.68903516934934,528.0,Netherlands,3.0
20,2017,AT,76.13619726674382,40.0,Austria,4.0
21,2017,PL,66.83632510955528,616.0,Poland,24.0
22,2017,PT,72.0436333202643,620.0,Portugal,14.0
23,2017,RO,67.11163046977614,642.0,Romania,23.0
24,2017,SI,71.81699557427628,705.0,Slovenia,15.0
25,2017,SK,65.46920586612887,703.0,Slovakia,26.0
26,2017,FI,74.73831315109108,246.0,Finland,5.0
27,2017,SE,82.57159462910782,752.0,Sweden,1.0
0,2019,EU,71.10929523967032,,,18.0
1,2019,BE,74.06643334690851,56.0,Belgium,9.0
2,2019,BG,68.98892903923011,100.0,Bulgaria,21.0
3,2019,CZ,66.97126926823016,203.0,Czech Republic,25.0
4,2019,DK,79.61712454144472,208.0,Denmark,2.0
5,2019,DE,72.07541391206365,276.0,Germany,16.0
6,2019,EE,71.54209948530892,233.0,Estonia,17.0
7,2019,IE,75.5333472642897,372.0,Ireland,5.0
8,2019,EL,64.20711125524517,300.0,Greece,27.0
9,2019,ES,72.85663395144876,724.0,Spain,13.0
10,2019,FR,72.3647509247806,250.0,France,15.0
11,2019,HR,69.17867963998317,191.0,Croatia,20.0
12,2019,IT,63.144891362349945,380.0,Italy,28.0
13,2019,CY,70.66897682353444,196.0,Cyprus,19.0
14,2019,LV,74.2066788500847,428.0,Latvia,7.0
15,2019,LT,73.58881598444815,440.0,Lithuania,10.0
16,2019,LU,74.11791208855588,442.0,Luxembourg,8.0
17,2019,HU,67.36155798995665,348.0,Hungary,23.0
18,2019,MT,73.3030915563707,,Malta,11.0
19,2019,NL,77.38770115893729,528.0,Netherlands,3.0
20,2019,AT,76.58206224572324,40.0,Austria,4.0
21,2019,PL,66.98352042065278,616.0,Poland,24.0
22,2019,PT,72.51741384369635,620.0,Portugal,14.0
23,2019,RO,67.71090551120706,642.0,Romania,22.0
24,2019,SI,73.27461591754087,705.0,Slovenia,12.0
25,2019,SK,66.4649926148712,703.0,Slovakia,26.0
26,2019,FI,74.88616818667255,246.0,Finland,6.0
27,2019,SE,82.99062983946975,752.0,Sweden,1.0
0,2020,EU,71.36610656539415,,,18.0
1,2020,BE,74.65901370638606,56.0,Belgium,9.0
2,2020,BG,69.00614854267488,100.0,Bulgaria,21.0
3,2020,CZ,67.01210169550161,203.0,Czech Republic,25.0
4,2020,DK,79.6572693220812,208.0,Denmark,2.0
5,2020,DE,72.11506346495207,276.0,Germany,17.0
6,2020,EE,72.13350062747915,233.0,Estonia,16.0
7,2020,IE,75.89481903125416,372.0,Ireland,5.0
8,2020,EL,64.43532565987651,300.0,Greece,27.0
9,2020,ES,73.15631249901355,724.0,Spain,12.0
10,2020,FR,72.8358990227526,250.0,France,15.0
11,2020,HR,69.88793722283441,191.0,Croatia,20.0
12,2020,IT,63.340721898052,380.0,Italy,28.0
13,2020,CY,70.7990363950639,196.0,Cyprus,19.0
14,2020,LV,74.03623919183293,428.0,Latvia,11.0
15,2020,LT,74.06270149277923,440.0,Lithuania,10.0
16,2020,LU,75.15000939543087,442.0,Luxembourg,8.0
17,2020,HU,67.99995956981947,348.0,Hungary,22.0
18,2020,MT,75.44979123416631,,Malta,6.0
19,2020,NL,77.83516497203422,528.0,Netherlands,3.0
20,2020,AT,76.36555857689193,40.0,Austria,4.0
21,2020,PL,67.3076089582994,616.0,Poland,24.0
22,2020,PT,72.9310831037306,620.0,Portugal,14.0
23,2020,RO,67.63571936883815,642.0,Romania,23.0
24,2020,SI,73.06111182913317,705.0,Slovenia,13.0
25,2020,SK,66.61523451336946,703.0,Slovakia,26.0
26,2020,FI,75.42700370614918,246.0,Finland,7.0
27,2020,SE,82.88938391715674,752.0,Sweden,1.0
0,2021,EU,71.62100190065703,,,18.0
1,2021,BE,74.85026215931188,56.0,Belgium,9.0
2,2021,BG,69.60749658092797,100.0,Bulgaria,21.0
3,2021,CZ,67.40697480713625,203.0,Czech Republic,24.0
4,2021,DK,79.42756832894746,208.0,Denmark,2.0
5,2021,DE,72.4384704542578,276.0,Germany,17.0
6,2021,EE,72.50767884058456,233.0,Estonia,16.0
7,2021,IE,76.45877874206082,372.0,Ireland,6.0
8,2021,EL,65.30822841176375,300.0,Greece,27.0
9,2021,ES,73.72120862919816,724.0,Spain,12.0
10,2021,FR,73.16463089607018,250.0,France,14.0
11,2021,HR,70.07133522833928,191.0,Croatia,20.0
12,2021,IT,63.6503318987774,380.0,Italy,28.0
13,2021,CY,70.60348446018642,196.0,Cyprus,19.0
14,2021,LV,74.28514892874098,428.0,Latvia,10.0
15,2021,LT,74.17188063129367,440.0,Lithuania,11.0
16,2021,LU,76.25698506602254,442.0,Luxembourg,7.0
17,2021,HU,67.9954737114277,348.0,Hungary,22.0
18,2021,MT,76.79636020236919,,Malta,5.0
19,2021,NL,78.26121107102702,528.0,Netherlands,3.0
20,2021,AT,76.84057068588739,40.0,Austria,4.0
21,2021,PL,67.19869669921076,616.0,Poland,25.0
22,2021,PT,73.21913157936274,620.0,Portugal,13.0
23,2021,RO,67.53853064059196,642.0,Romania,23.0
24,2021,SI,73.0035291290977,705.0,Slovenia,15.0
25,2021,SK,66.8110476037107,703.0,Slovakia,26.0
26,2021,FI,75.5311623060504,246.0,Finland,8.0
27,2021,SE,83.0666623294899,752.0,Sweden,1.0
0,2022,EU,71.67003328485477,,,18.0
1,2022,BE,75.48481373973715,56.0,Belgium,8.0
2,2022,BG,69.25360925023257,100.0,Bulgaria,21.0
3,2022,CZ,67.05238716917371,203.0,Czech Republic,25.0
4,2022,DK,79.48454451918487,208.0,Denmark,2.0
5,2022,DE,72.86663291780658,276.0,Germany,16.0
6,2022,EE,72.67398248540724,233.0,Estonia,17.0
7,2022,IE,76.47662291104989,372.0,Ireland,6.0
8,2022,EL,65.57010707817356,300.0,Greece,27.0
9,2022,ES,73.59715612872706,724.0,Spain,12.0
10,2022,FR,73.21286498375056,250.0,France,15.0
11,2022,HR,69.65811687644434,191.0,Croatia,20.0
12,2022,IT,63.233540631947974,380.0,Italy,28.0
13,2022,CY,69.91654692193073,196.0,Cyprus,19.0
14,2022,LV,74.22292226799352,428.0,Latvia,10.0
15,2022,LT,73.86023715850067,440.0,Lithuania,11.0
16,2022,LU,76.29124703018891,442.0,Luxembourg,7.0
17,2022,HU,67.46950947806239,348.0,Hungary,22.0
18,2022,MT,76.97720421767485,,Malta,5.0
19,2022,NL,78.6757222385603,528.0,Netherlands,3.0
20,2022,AT,77.16052441452902,40.0,Austria,4.0
21,2022,PL,67.32970785466132,616.0,Poland,23.0
22,2022,PT,73.40444568198794,620.0,Portugal,13.0
23,2022,RO,67.29143510123767,642.0,Romania,24.0
24,2022,SI,73.39929881558419,705.0,Slovenia,14.0
25,2022,SK,66.48760399602622,703.0,Slovakia,26.0
26,2022,FI,75.427350606086,246.0,Finland,9.0
27,2022,SE,82.99474123735844,752.0,Sweden,1.0
0,2023,EU,73.78679909387125,,,19.0
1,2023,BE,75.37034435456748,56.0,Belgium,18.0
2,2023,BG,69.97609955431572,100.0,Bulgaria,23.0
3,2023,CZ,68.88309868033609,203.0,Czech Republic,25.0
4,2023,DK,82.12948472202092,208.0,Denmark,2.0
5,2023,DE,76.75449205783802,276.0,Germany,8.0
6,2023,EE,77.47218938126362,233.0,Estonia,7.0
7,2023,IE,76.4481470641493,372.0,Ireland,12.0
8,2023,EL,68.65932270221315,300.0,Greece,26.0
9,2023,ES,75.38116982337706,724.0,Spain,17.0
10,2023,FR,73.2221930141425,250.0,France,20.0
11,2023,HR,72.0811158755391,191.0,Croatia,21.0
12,2023,IT,65.03438266189751,380.0,Italy,28.0
13,2023,CY,76.48557066181114,196.0,Cyprus,10.0
14,2023,LV,76.39850602831241,428.0,Latvia,14.0
15,2023,LT,75.7145436363134,440.0,Lithuania,16.0
16,2023,LU,79.64436448986513,442.0,Luxembourg,4.0
17,2023,HU,76.4513488383059,348.0,Hungary,11.0
18,2023,MT,80.01457467162389,,Malta,3.0
19,2023,NL,79.28532221688067,528.0,Netherlands,5.0
20,2023,AT,76.41174749820144,40.0,Austria,13.0
21,2023,PL,69.57738017565043,616.0,Poland,24.0
22,2023,PT,76.51501699537452,620.0,Portugal,9.0
23,2023,RO,66.98751771684883,642.0,Romania,27.0
24,2023,SI,75.8463000410083,705.0,Slovenia,15.0
25,2023,SK,71.88018944419215,703.0,Slovakia,22.0
26,2023,FI,77.95130130858281,246.0,Finland,6.0
27,2023,SE,84.81302758100465,752.0,Sweden,1.0
